cohort_month,order_month,retationed_customer
1/1/2020,1/1/2020,241
1/1/2020,2/1/2020,6
1/1/2020,3/1/2020,2
1/1/2020,4/1/2020,7
1/1/2020,5/1/2020,8
1/1/2020,6/1/2020,7
1/1/2020,7/1/2020,9
1/1/2020,8/1/2020,8
1/1/2020,9/1/2020,4
1/1/2020,10/1/2020,9
1/1/2020,11/1/2020,5
1/1/2020,12/1/2020,4
1/1/2020,1/1/2021,12
1/1/2020,2/1/2021,9
1/1/2020,3/1/2021,2
1/1/2020,4/1/2021,4
1/1/2020,5/1/2021,9
1/1/2020,6/1/2021,7
1/1/2020,7/1/2021,5
1/1/2020,8/1/2021,5
1/1/2020,9/1/2021,6
1/1/2020,10/1/2021,13
1/1/2020,11/1/2021,3
1/1/2020,12/1/2021,7
1/1/2020,1/1/2022,8
1/1/2020,2/1/2022,8
1/1/2020,3/1/2022,6
1/1/2020,4/1/2022,8
1/1/2020,5/1/2022,6
1/1/2020,6/1/2022,6
1/1/2020,7/1/2022,2
1/1/2020,8/1/2022,9
1/1/2020,9/1/2022,4
1/1/2020,10/1/2022,8
1/1/2020,11/1/2022,5
1/1/2020,12/1/2022,4
1/1/2020,1/1/2023,8
1/1/2020,2/1/2023,11
1/1/2020,3/1/2023,5
1/1/2020,4/1/2023,3
1/1/2020,5/1/2023,10
1/1/2020,6/1/2023,4
1/1/2020,7/1/2023,7
1/1/2020,8/1/2023,6
1/1/2020,9/1/2023,6
1/1/2020,10/1/2023,5
1/1/2020,11/1/2023,6
1/1/2020,12/1/2023,5
1/1/2020,1/1/2024,4
1/1/2020,2/1/2024,4
1/1/2020,3/1/2024,7
1/1/2020,4/1/2024,6
1/1/2020,5/1/2024,6
1/1/2020,6/1/2024,5
1/1/2020,7/1/2024,11
1/1/2020,8/1/2024,4
1/1/2020,9/1/2024,3
1/1/2020,10/1/2024,4
1/1/2020,11/1/2024,3
1/1/2020,12/1/2024,4
1/1/2020,1/1/2025,6
1/1/2020,2/1/2025,4
1/1/2020,3/1/2025,4
1/1/2020,4/1/2025,6
2/1/2020,2/1/2020,228
2/1/2020,3/1/2020,4
2/1/2020,4/1/2020,8
2/1/2020,5/1/2020,6
2/1/2020,6/1/2020,6
2/1/2020,7/1/2020,5
2/1/2020,8/1/2020,5
2/1/2020,9/1/2020,11
2/1/2020,10/1/2020,10
2/1/2020,11/1/2020,3
2/1/2020,12/1/2020,5
2/1/2020,1/1/2021,7
2/1/2020,2/1/2021,6
2/1/2020,3/1/2021,6
2/1/2020,4/1/2021,6
2/1/2020,5/1/2021,2
2/1/2020,6/1/2021,5
2/1/2020,7/1/2021,6
2/1/2020,8/1/2021,5
2/1/2020,9/1/2021,3
2/1/2020,10/1/2021,8
2/1/2020,11/1/2021,5
2/1/2020,12/1/2021,4
2/1/2020,1/1/2022,4
2/1/2020,2/1/2022,6
2/1/2020,3/1/2022,6
2/1/2020,4/1/2022,3
2/1/2020,5/1/2022,6
2/1/2020,6/1/2022,10
2/1/2020,7/1/2022,7
2/1/2020,8/1/2022,9
2/1/2020,9/1/2022,8
2/1/2020,10/1/2022,6
2/1/2020,11/1/2022,6
2/1/2020,12/1/2022,4
2/1/2020,1/1/2023,7
2/1/2020,2/1/2023,3
2/1/2020,3/1/2023,6
2/1/2020,4/1/2023,6
2/1/2020,5/1/2023,7
2/1/2020,6/1/2023,2
2/1/2020,7/1/2023,8
2/1/2020,8/1/2023,5
2/1/2020,9/1/2023,6
2/1/2020,10/1/2023,4
2/1/2020,11/1/2023,8
2/1/2020,12/1/2023,3
2/1/2020,1/1/2024,7
2/1/2020,2/1/2024,4
2/1/2020,3/1/2024,2
2/1/2020,4/1/2024,8
2/1/2020,5/1/2024,4
2/1/2020,6/1/2024,9
2/1/2020,7/1/2024,3
2/1/2020,8/1/2024,4
2/1/2020,9/1/2024,7
2/1/2020,10/1/2024,11
2/1/2020,11/1/2024,8
2/1/2020,12/1/2024,6
2/1/2020,1/1/2025,4
2/1/2020,2/1/2025,5
2/1/2020,3/1/2025,7
2/1/2020,4/1/2025,9
3/1/2020,3/1/2020,207
3/1/2020,5/1/2020,5
3/1/2020,6/1/2020,7
3/1/2020,7/1/2020,8
3/1/2020,8/1/2020,2
3/1/2020,9/1/2020,5
3/1/2020,10/1/2020,9
3/1/2020,11/1/2020,7
3/1/2020,12/1/2020,5
3/1/2020,1/1/2021,6
3/1/2020,2/1/2021,3
3/1/2020,3/1/2021,7
3/1/2020,4/1/2021,5
3/1/2020,5/1/2021,5
3/1/2020,6/1/2021,5
3/1/2020,7/1/2021,10
3/1/2020,8/1/2021,5
3/1/2020,9/1/2021,10
3/1/2020,10/1/2021,3
3/1/2020,11/1/2021,5
3/1/2020,12/1/2021,9
3/1/2020,1/1/2022,5
3/1/2020,2/1/2022,1
3/1/2020,3/1/2022,4
3/1/2020,4/1/2022,2
3/1/2020,5/1/2022,2
3/1/2020,6/1/2022,5
3/1/2020,7/1/2022,6
3/1/2020,8/1/2022,7
3/1/2020,9/1/2022,4
3/1/2020,10/1/2022,3
3/1/2020,11/1/2022,2
3/1/2020,12/1/2022,8
3/1/2020,1/1/2023,7
3/1/2020,2/1/2023,7
3/1/2020,3/1/2023,6
3/1/2020,4/1/2023,5
3/1/2020,5/1/2023,8
3/1/2020,6/1/2023,5
3/1/2020,7/1/2023,7
3/1/2020,8/1/2023,5
3/1/2020,9/1/2023,5
3/1/2020,10/1/2023,7
3/1/2020,11/1/2023,4
3/1/2020,12/1/2023,4
3/1/2020,1/1/2024,3
3/1/2020,2/1/2024,4
3/1/2020,3/1/2024,11
3/1/2020,4/1/2024,5
3/1/2020,5/1/2024,3
3/1/2020,6/1/2024,1
3/1/2020,7/1/2024,4
3/1/2020,8/1/2024,5
3/1/2020,9/1/2024,6
3/1/2020,10/1/2024,4
3/1/2020,11/1/2024,5
3/1/2020,12/1/2024,4
3/1/2020,1/1/2025,5
3/1/2020,2/1/2025,8
3/1/2020,3/1/2025,2
3/1/2020,4/1/2025,6
4/1/2020,4/1/2020,200
4/1/2020,5/1/2020,2
4/1/2020,6/1/2020,7
4/1/2020,7/1/2020,10
4/1/2020,8/1/2020,5
4/1/2020,9/1/2020,2
4/1/2020,10/1/2020,5
4/1/2020,11/1/2020,6
4/1/2020,12/1/2020,9
4/1/2020,1/1/2021,3
4/1/2020,2/1/2021,8
4/1/2020,3/1/2021,3
4/1/2020,4/1/2021,5
4/1/2020,5/1/2021,7
4/1/2020,6/1/2021,8
4/1/2020,7/1/2021,5
4/1/2020,8/1/2021,4
4/1/2020,9/1/2021,3
4/1/2020,10/1/2021,5
4/1/2020,11/1/2021,7
4/1/2020,12/1/2021,5
4/1/2020,1/1/2022,4
4/1/2020,2/1/2022,6
4/1/2020,3/1/2022,7
4/1/2020,4/1/2022,2
4/1/2020,5/1/2022,4
4/1/2020,6/1/2022,7
4/1/2020,7/1/2022,3
4/1/2020,8/1/2022,5
4/1/2020,9/1/2022,3
4/1/2020,10/1/2022,2
4/1/2020,11/1/2022,4
4/1/2020,12/1/2022,5
4/1/2020,1/1/2023,2
4/1/2020,2/1/2023,3
4/1/2020,3/1/2023,6
4/1/2020,4/1/2023,2
4/1/2020,5/1/2023,2
4/1/2020,6/1/2023,6
4/1/2020,7/1/2023,3
4/1/2020,8/1/2023,2
4/1/2020,9/1/2023,6
4/1/2020,10/1/2023,6
4/1/2020,11/1/2023,4
4/1/2020,12/1/2023,13
4/1/2020,1/1/2024,7
4/1/2020,2/1/2024,7
4/1/2020,3/1/2024,4
4/1/2020,4/1/2024,5
4/1/2020,5/1/2024,9
4/1/2020,6/1/2024,3
4/1/2020,7/1/2024,6
4/1/2020,8/1/2024,1
4/1/2020,9/1/2024,8
4/1/2020,10/1/2024,3
4/1/2020,11/1/2024,9
4/1/2020,12/1/2024,4
4/1/2020,1/1/2025,6
4/1/2020,2/1/2025,1
4/1/2020,3/1/2025,4
4/1/2020,4/1/2025,5
5/1/2020,5/1/2020,209
5/1/2020,6/1/2020,4
5/1/2020,7/1/2020,10
5/1/2020,8/1/2020,3
5/1/2020,9/1/2020,5
5/1/2020,10/1/2020,7
5/1/2020,11/1/2020,8
5/1/2020,12/1/2020,6
5/1/2020,1/1/2021,8
5/1/2020,2/1/2021,5
5/1/2020,3/1/2021,5
5/1/2020,4/1/2021,3
5/1/2020,5/1/2021,8
5/1/2020,6/1/2021,4
5/1/2020,7/1/2021,5
5/1/2020,8/1/2021,2
5/1/2020,9/1/2021,9
5/1/2020,10/1/2021,5
5/1/2020,11/1/2021,7
5/1/2020,12/1/2021,2
5/1/2020,1/1/2022,5
5/1/2020,2/1/2022,4
5/1/2020,3/1/2022,4
5/1/2020,4/1/2022,6
5/1/2020,5/1/2022,4
5/1/2020,6/1/2022,2
5/1/2020,7/1/2022,9
5/1/2020,8/1/2022,9
5/1/2020,9/1/2022,4
5/1/2020,10/1/2022,4
5/1/2020,11/1/2022,5
5/1/2020,12/1/2022,6
5/1/2020,1/1/2023,10
5/1/2020,2/1/2023,5
5/1/2020,3/1/2023,2
5/1/2020,4/1/2023,10
5/1/2020,5/1/2023,4
5/1/2020,6/1/2023,6
5/1/2020,7/1/2023,12
5/1/2020,8/1/2023,5
5/1/2020,9/1/2023,1
5/1/2020,10/1/2023,5
5/1/2020,11/1/2023,2
5/1/2020,12/1/2023,4
5/1/2020,1/1/2024,4
5/1/2020,2/1/2024,4
5/1/2020,3/1/2024,8
5/1/2020,4/1/2024,3
5/1/2020,5/1/2024,7
5/1/2020,6/1/2024,8
5/1/2020,7/1/2024,7
5/1/2020,8/1/2024,3
5/1/2020,9/1/2024,3
5/1/2020,10/1/2024,4
5/1/2020,11/1/2024,6
5/1/2020,12/1/2024,6
5/1/2020,1/1/2025,5
5/1/2020,2/1/2025,6
5/1/2020,3/1/2025,7
5/1/2020,4/1/2025,4
6/1/2020,6/1/2020,208
6/1/2020,7/1/2020,7
6/1/2020,8/1/2020,8
6/1/2020,9/1/2020,5
6/1/2020,10/1/2020,6
6/1/2020,11/1/2020,6
6/1/2020,12/1/2020,5
6/1/2020,1/1/2021,6
6/1/2020,2/1/2021,6
6/1/2020,3/1/2021,4
6/1/2020,4/1/2021,8
6/1/2020,5/1/2021,5
6/1/2020,6/1/2021,2
6/1/2020,7/1/2021,5
6/1/2020,8/1/2021,8
6/1/2020,9/1/2021,6
6/1/2020,10/1/2021,4
6/1/2020,11/1/2021,5
6/1/2020,12/1/2021,5
6/1/2020,1/1/2022,5
6/1/2020,2/1/2022,4
6/1/2020,3/1/2022,1
6/1/2020,4/1/2022,3
6/1/2020,5/1/2022,5
6/1/2020,6/1/2022,4
6/1/2020,7/1/2022,6
6/1/2020,8/1/2022,6
6/1/2020,9/1/2022,3
6/1/2020,10/1/2022,7
6/1/2020,11/1/2022,5
6/1/2020,12/1/2022,5
6/1/2020,1/1/2023,8
6/1/2020,2/1/2023,5
6/1/2020,3/1/2023,11
6/1/2020,4/1/2023,8
6/1/2020,5/1/2023,8
6/1/2020,6/1/2023,5
6/1/2020,7/1/2023,2
6/1/2020,8/1/2023,5
6/1/2020,9/1/2023,4
6/1/2020,10/1/2023,6
6/1/2020,11/1/2023,5
6/1/2020,12/1/2023,4
6/1/2020,1/1/2024,6
6/1/2020,2/1/2024,9
6/1/2020,3/1/2024,7
6/1/2020,4/1/2024,3
6/1/2020,5/1/2024,10
6/1/2020,6/1/2024,8
6/1/2020,7/1/2024,6
6/1/2020,8/1/2024,1
6/1/2020,9/1/2024,4
6/1/2020,10/1/2024,7
6/1/2020,11/1/2024,9
6/1/2020,12/1/2024,3
6/1/2020,1/1/2025,4
6/1/2020,2/1/2025,5
6/1/2020,3/1/2025,6
6/1/2020,4/1/2025,6
7/1/2020,7/1/2020,206
7/1/2020,8/1/2020,11
7/1/2020,9/1/2020,1
7/1/2020,10/1/2020,4
7/1/2020,11/1/2020,1
7/1/2020,12/1/2020,4
7/1/2020,1/1/2021,4
7/1/2020,2/1/2021,8
7/1/2020,3/1/2021,5
7/1/2020,4/1/2021,4
7/1/2020,5/1/2021,10
7/1/2020,6/1/2021,5
7/1/2020,7/1/2021,4
7/1/2020,8/1/2021,3
7/1/2020,9/1/2021,8
7/1/2020,10/1/2021,5
7/1/2020,11/1/2021,6
7/1/2020,12/1/2021,6
7/1/2020,1/1/2022,5
7/1/2020,2/1/2022,5
7/1/2020,3/1/2022,4
7/1/2020,4/1/2022,5
7/1/2020,5/1/2022,7
7/1/2020,6/1/2022,6
7/1/2020,7/1/2022,6
7/1/2020,8/1/2022,4
7/1/2020,9/1/2022,5
7/1/2020,10/1/2022,8
7/1/2020,11/1/2022,4
7/1/2020,12/1/2022,3
7/1/2020,1/1/2023,8
7/1/2020,2/1/2023,3
7/1/2020,3/1/2023,1
7/1/2020,4/1/2023,5
7/1/2020,5/1/2023,5
7/1/2020,6/1/2023,6
7/1/2020,7/1/2023,8
7/1/2020,8/1/2023,8
7/1/2020,9/1/2023,8
7/1/2020,10/1/2023,5
7/1/2020,11/1/2023,4
7/1/2020,12/1/2023,1
7/1/2020,1/1/2024,4
7/1/2020,2/1/2024,8
7/1/2020,3/1/2024,4
7/1/2020,4/1/2024,5
7/1/2020,5/1/2024,6
7/1/2020,6/1/2024,4
7/1/2020,7/1/2024,9
7/1/2020,8/1/2024,3
7/1/2020,9/1/2024,1
7/1/2020,10/1/2024,6
7/1/2020,11/1/2024,7
7/1/2020,12/1/2024,2
7/1/2020,1/1/2025,11
7/1/2020,2/1/2025,4
7/1/2020,3/1/2025,5
